0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,fact_sale,pred_trend
21.583,4.873,0.226,1.251,1.112,8.0,0.351,11.0,7.0,0.129,0.008,0.97,0.545,8.0,0.556,-0.866,-0.5,23.0,20.0,1.0
20.25,5.372,0.265,0.938,-0.233,-11.0,-0.457,-1.0,7.0,0.29,0.035,-0.539,0.545,7.0,0.556,-1.0,0.0,11.0,27.0,1.0
20.25,5.372,0.265,1.481,1.815,14.0,0.629,9.0,3.0,0.395,0.064,1.458,0.545,7.0,0.556,-0.866,0.5,19.0,19.0,1.0
19.0,4.655,0.245,0.842,-0.645,-4.0,-0.223,-4.0,-3.0,0.154,0.013,-0.832,0.545,7.0,0.556,-0.5,0.866,15.0,30.0,1.0
18.833,4.793,0.254,1.062,0.243,-1.0,-0.049,8.0,-5.0,0.483,0.121,-0.331,0.636,7.0,0.556,0.0,1.0,14.0,16.0,2.0
17.75,5.775,0.325,1.183,0.563,1.0,0.049,-6.0,-2.0,0.885,0.28,-0.33,0.727,6.0,0.556,0.5,0.866,7.0,20.0,1.0
17.5,5.694,0.325,1.143,0.439,8.0,0.511,1.0,9.0,0.727,0.194,-0.294,0.636,7.0,0.611,0.866,0.5,18.0,21.0,1.0
26.417,5.314,0.201,1.022,0.11,6.0,0.251,-7.0,3.0,0.465,0.091,-0.39,0.455,4.0,0.447,-0.866,-0.5,21.0,18.0,1.0
25.833,5.595,0.217,0.813,-0.864,-17.0,-0.593,-1.0,-4.0,0.685,0.179,-1.697,0.455,3.0,0.447,-1.0,0.0,20.0,27.0,1.0
25.667,5.764,0.225,1.481,2.14,4.0,0.111,14.0,5.0,1.168,0.489,1.435,0.545,2.0,0.333,-0.866,0.5,19.0,21.0,1.0
23.833,4.997,0.21,1.427,2.034,12.0,0.435,10.0,10.0,0.979,0.457,1.299,0.545,2.0,0.333,-0.5,0.866,16.0,38.0,1.0
22.333,4.384,0.196,0.985,-0.076,-2.0,-0.087,-3.0,-2.0,0.818,0.415,-1.441,0.455,1.0,0.333,0.0,1.0,16.0,34.0,2.0
22.0,4.546,0.207,1.091,0.44,0.0,0.0,-9.0,3.0,1.0,0.577,-1.183,0.455,2.0,0.273,0.5,0.866,18.0,22.0,1.0
21.083,5.123,0.243,1.138,0.569,-1.0,-0.041,0.0,4.0,1.255,0.715,-1.459,0.545,3.0,0.273,0.866,0.5,13.0,24.0,1.0
12.417,5.423,0.437,1.128,0.292,4.0,0.336,1.0,2.0,0.913,0.337,-0.778,0.545,8.0,0.615,-0.866,-0.5,5.0,18.0,2.0
12.0,5.477,0.456,0.833,-0.365,-16.0,-0.956,-6.0,-7.0,0.972,0.375,-1.697,0.455,8.0,0.615,-1.0,0.0,9.0,14.0,2.0
11.583,5.795,0.5,2.245,2.488,13.0,0.693,15.0,15.0,1.332,0.63,2.011,0.545,8.0,0.444,-0.866,0.5,5.0,10.0,2.0
9.917,4.01,0.404,1.311,0.769,-3.0,-0.208,1.0,8.0,0.892,0.589,-0.708,0.455,8.0,0.444,-0.5,0.866,6.0,26.0,1.0
9.917,4.01,0.404,1.613,1.517,5.0,0.375,-1.0,7.0,0.633,0.297,0.774,0.455,7.0,0.615,0.0,1.0,13.0,13.0,1.0
8.833,3.976,0.45,1.245,0.545,-1.0,-0.087,0.0,6.0,0.622,0.292,-0.376,0.455,7.0,0.615,0.5,0.866,3.0,16.0,1.0
9.167,4.298,0.469,1.309,0.659,-5.0,-0.348,7.0,3.0,0.287,0.053,0.3,0.455,8.0,0.8,0.866,0.5,15.0,11.0,1.0
